"idx","category","file","title","venue_year","figure","article_url","image_url","license","why","use_for","asset_path","bytes","download_status"
"11","03_control_reinforcement_learning","11_microrobot_model_based_rl_NMI2025_Fig1.png","Model-based reinforcement learning for ultrasound-driven autonomous microrobots","Nature Machine Intelligence 2025","Fig. 1","https://www.nature.com/articles/s42256-025-01054-2","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-025-01054-2/MediaObjects/42256_2025_1054_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","图像感知、想象环境、控制动作形成闭环，适合借鉴“感知-模型-控制-反馈”的故事。","模型式强化学习、闭环控制、机器人/微系统导航。","assets/engineering-reference-atlas/03_control_reinforcement_learning/11_microrobot_model_based_rl_NMI2025_Fig1.png","1449221","downloaded"
"12","04_engineering_design_systems","12_rf_inverse_design_emulator_NatCommun2024_Fig1.png","Deep-learning enabled generalized inverse design of multi-port radio-frequency and sub-terahertz passives and integrated circuits","Nature Communications 2024","Fig. 1","https://www.nature.com/articles/s41467-024-54178-1","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-024-54178-1/MediaObjects/41467_2024_54178_Fig1_HTML.png","Open access; Creative Commons mentioned on article page; verify before redistribution","非常工科：结构设计空间、深度学习电磁仿真器、逆向综合目标，适合工程建模模板。","逆向设计、代理仿真器、工程优化闭环。","assets/engineering-reference-atlas/04_engineering_design_systems/12_rf_inverse_design_emulator_NatCommun2024_Fig1.png","1321650","downloaded"
"13","04_engineering_design_systems","13_rf_inverse_design_validation_NatCommun2024_Fig2.png","Deep-learning enabled generalized inverse design of multi-port radio-frequency and sub-terahertz passives and integrated circuits","Nature Communications 2024","Fig. 2","https://www.nature.com/articles/s41467-024-54178-1","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-024-54178-1/MediaObjects/41467_2024_54178_Fig2_HTML.png","Open access; Creative Commons mentioned on article page; verify before redistribution","模型预测和物理仿真对比清楚，适合作为“模型验证+工程参数空间”的参考。","仿真器验证、预测对比、电磁/机械/控制模型验证。","assets/engineering-reference-atlas/04_engineering_design_systems/13_rf_inverse_design_validation_NatCommun2024_Fig2.png","866560","downloaded"
"15","04_engineering_design_systems","15_plasma_dynamics_trajectory_evidence_NatCommun2025_Fig2.png","Learning plasma dynamics and robust rampdown trajectories with predict-first experiments at TCV","Nature Communications 2025","Fig. 2","https://www.nature.com/articles/s41467-025-63917-x","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-025-63917-x/MediaObjects/41467_2025_63917_Fig2_HTML.png","Open access; CC BY 4.0 found on article page","轨迹证据和系统响应组合，适合改造为仿真/控制实验的证据图。","轨迹跟踪、控制响应、预测与实验对照。","assets/engineering-reference-atlas/04_engineering_design_systems/15_plasma_dynamics_trajectory_evidence_NatCommun2025_Fig2.png","373646","downloaded"
"16","05_robotics_embodied_ai","16_embodied_llm_robot_framework_NMI2025_Fig1.png","Embodied large language models enable robots to complete complex tasks in unpredictable environments","Nature Machine Intelligence 2025","Fig. 1","https://www.nature.com/articles/s42256-025-01005-x","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-025-01005-x/MediaObjects/42256_2025_1005_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","具身智能任务规划、RAG、传感反馈、机器人执行合在一起，适合系统架构参考。","LLM+机器人、任务规划、感知反馈闭环。","assets/engineering-reference-atlas/05_robotics_embodied_ai/16_embodied_llm_robot_framework_NMI2025_Fig1.png","148625","downloaded"
"17","05_robotics_embodied_ai","17_causal_chambers_physical_testbed_NMI2024_Fig1.png","Causal chambers as a real-world physical testbed for AI methodology","Nature Machine Intelligence 2024","Fig. 1","https://www.nature.com/articles/s42256-024-00964-x","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-024-00964-x/MediaObjects/42256_2024_964_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","真实物理测试平台+变量操控+算法验证，适合“实验平台和因果机制”图。","实验平台、仿真-真实测试、因果/泛化验证。","assets/engineering-reference-atlas/05_robotics_embodied_ai/17_causal_chambers_physical_testbed_NMI2024_Fig1.png","270724","downloaded"
"18","06_mechanism_data_feedback","18_model_collapse_feedback_loop_Nature2024_Fig1.png","AI models collapse when trained on recursively generated data","Nature 2024","Fig. 1","https://www.nature.com/articles/s41586-024-07566-y","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41586-024-07566-y/MediaObjects/41586_2024_7566_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","反馈循环和退化机制表达清楚，可作为“机制/风险/闭环后果”图的参考。","数据闭环、模型退化、机制风险。","assets/engineering-reference-atlas/06_mechanism_data_feedback/18_model_collapse_feedback_loop_Nature2024_Fig1.png","440182","downloaded"
"19","02_simulation_surrogate_physics","19_latent_neural_operator_complex_dynamics_NatCommun2024_Fig1.png","Learning nonlinear operators in latent spaces for real-time predictions of complex dynamics in physical systems","Nature Communications 2024","Fig. 1","https://www.nature.com/articles/s41467-024-49411-w","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-024-49411-w/MediaObjects/41467_2024_49411_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","潜空间神经算子把复杂动力学、降维表征和实时预测串起来，是仿真代理模型的好范式。","复杂动力学代理模型、神经算子、实时预测。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/19_latent_neural_operator_complex_dynamics_NatCommun2024_Fig1.png","338682","downloaded"
"21","02_simulation_surrogate_physics","21_physics_informed_gnn_dynamics_NatCommun2026_Fig1.png","A physics-informed graph neural network conserving linear and angular momentum for dynamical systems","Nature Communications 2026","Fig. 1","https://www.nature.com/articles/s41467-025-67802-5","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-025-67802-5/MediaObjects/41467_2025_67802_Fig1_HTML.png","Open access; Creative Commons mentioned on article page; verify before redistribution","物理守恒约束嵌入 GNN 的表达很适合工科建模，能启发“物理规律不是文字，而是图结构的一部分”。","物理约束 GNN、动力学建模、守恒律嵌入。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/21_physics_informed_gnn_dynamics_NatCommun2026_Fig1.png","436728","downloaded"
"22","04_engineering_design_systems","22_battery_pinn_soh_NatCommun2024_Fig1.png","Physics-informed neural network for lithium-ion battery degradation stable modeling and prognosis","Nature Communications 2024","Fig. 1","https://www.nature.com/articles/s41467-024-48779-z","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-024-48779-z/MediaObjects/41467_2024_48779_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","电池退化 PINN 流程很工科，适合借鉴“机理模型+数据模型+预测任务”的组合。","电池/能源系统建模、状态估计、退化预测。","assets/engineering-reference-atlas/04_engineering_design_systems/22_battery_pinn_soh_NatCommun2024_Fig1.png","643729","downloaded"
"23","02_simulation_surrogate_physics","23_interpretable_network_dynamics_symbolic_NatCommun2025_Fig1.png","Learning interpretable network dynamics via universal neural symbolic regression","Nature Communications 2025","Fig. 1","https://www.nature.com/articles/s41467-025-61575-7","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-025-61575-7/MediaObjects/41467_2025_61575_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","把深度学习拟合与符号回归解释合在一起，适合参考“黑箱到可解释方程”的叙事。","动力学方程发现、可解释模型、神经符号方法。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/23_interpretable_network_dynamics_symbolic_NatCommun2025_Fig1.png","202495","downloaded_retry"
"24","03_control_reinforcement_learning","24_model_free_tracking_control_NatCommun2023_Fig1.png","Model-free tracking control of complex dynamical trajectories with machine learning","Nature Communications 2023","Fig. 1","https://www.nature.com/articles/s41467-023-41379-3","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-023-41379-3/MediaObjects/41467_2023_41379_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","训练/测试控制器结构和目标轨迹证据同图呈现，比单纯任务拼图更适合控制和轨迹验证。","轨迹跟踪、模型无关控制、目标轨迹验证、控制信号。","assets/engineering-reference-atlas/03_control_reinforcement_learning/24_model_free_tracking_control_NatCommun2023_Fig1.png","275414","downloaded"
"25","05_robotics_embodied_ai","25_dronehub_robotics_testbed_npjRobotics2025_Fig7.png","The DroneHub: a multi-environment testbed for sustainability robotics","npj Robotics 2026","Fig. 7","https://www.nature.com/articles/s44182-025-00054-z","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs44182-025-00054-z/MediaObjects/44182_2025_54_Fig7_HTML.png","Open access; verify exact reuse terms on article page before redistribution","真实机器人平台与 ROS、定位、环境传感、视频、反馈数据模块并列，适合表达实验平台和传感数据流。","机器人实验平台、传感系统、ROS 数据、环境监测、实验验证。","assets/engineering-reference-atlas/05_robotics_embodied_ai/25_dronehub_robotics_testbed_npjRobotics2025_Fig7.png","453393","downloaded"
